5860,936,2
6192,280,4
1659,620,8
8325,180,7
9533,877,8
5311,653,8
6957,354,7
7482,244,7
7565,153,8
2394,733,3
8823,196,8
7974,911,4
6454,961,2
1258,625,5
5866,178,3
5456,579,7
6368,157,4
1805,842,2
3213,547,8
5296,895,4
1232,649,5
8432,139,4
4070,547,6
7230,238,8
4324,969,7
5152,264,7
6239,641,3
9432,963,6
3394,864,7
1479,907,2
6713,182,5
2203,617,8
8592,448,4
1886,718,3
9961,829,4
4361,953,7
2185,176,3
8687,619,3
3448,373,2
1354,508,8
7244,805,8
2256,107,3
5558,595,2
3926,384,7
5386,396,8
1328,783,4
3670,730,3
9288,447,5
7492,754,2
2832,695,4
2728,318,7
7543,681,5
2878,861,5
2017,155,1
3274,370,2
9780,891,8
8651,594,7
9159,796,3
3033,288,6
2616,220,5
4825,528,5
2395,186,4
8050,681,1
3675,443,9
5948,481,8
3141,231,4
1535,682,9
1528,909,3
4271,892,2
6293,927,6
9066,731,8
3646,654,6
7833,568,5
7843,705,5
8988,933,4
6690,426,2
4853,938,6
7982,343,3
4611,732,6
2924,946,9
1926,912,3
7722,929,8
4672,232,4
7898,918,2
4689,998,5
5224,224,5
2686,923,4
4893,616,2
7446,778,8
7395,354,7
8330,200,2
6430,135,3
6882,972,9
7608,848,8
9993,796,7
7229,285,2
6109,249,8
8013,992,9
8739,466,8
4195,171,1
8628,704,8
3322,392,6
9487,880,9
7484,347,6
2562,426,8
6048,388,1
5868,954,8
7399,644,2
9326,254,8
5413,170,8
3130,539,8
2629,803,8
4358,468,2
9153,802,1
1890,867,8
1519,197,2
8464,490,4
8573,140,1
8939,837,6
4499,131,2
9572,280,8
7601,424,5
4579,809,6
5839,567,7
8171,368,6
1799,730,8
8404,244,6
2691,845,8
7147,296,2
6703,540,6
5327,985,4
1767,614,2
1590,976,6
1162,710,6
8247,455,3
8857,284,4
9615,581,8
6374,957,8
3181,571,4
6995,572,4
1876,975,2
9035,186,3
7515,574,5
6097,525,8
9041,494,9
4965,269,3
7476,203,3
9076,811,7
1859,695,8
9736,339,4
1121,424,8
5001,230,4
2995,875,2
9905,184,7
9591,724,7
4957,161,3
4471,769,8
9862,612,3
7800,718,5
7687,850,7
6158,412,2
8697,146,2
5985,492,7
6593,488,3
1386,391,4
3874,760,4
6984,583,2
4626,356,9
7753,664,4
5434,402,3
3606,811,5
8445,141,9
7422,877,4
5734,946,7
8526,460,8
8287,479,8
3106,151,5
2940,489,3
4573,923,6
8112,749,5
3740,868,7
4667,643,7
5733,107,3
9567,710,7
3262,782,4
1351,634,8
2405,957,4
9280,902,5
3873,601,4
3231,673,5
7243,374,9
8382,674,3
2206,715,2
3801,127,5
7947,362,6
6542,952,7
1428,867,2
7056,425,7
1897,288,2
9665,646,7
6909,762,8
1448,994,6
4302,958,8
7463,365,8
8621,445,7
1406,756,4
6324,724,8
3890,578,2
6185,925,2
6636,494,7
8828,725,7
2669,495,8
6701,548,4
7156,487,8
5836,878,6
5144,113,5
8593,921,5
6921,410,3
9918,414,8
5566,812,4
1378,220,7
8896,109,6
4263,361,2
6905,366,3
4390,691,1
8565,450,4
3147,989,7
8060,958,3
6950,319,3
9341,964,3
2989,758,5
6295,562,7
7995,738,3
7239,538,3
7750,836,3
1752,873,1
3050,996,8
5712,496,9
5156,918,5
5340,695,8
1385,880,8
4499,689,7
2897,691,5
2166,451,3
1915,578,2
6630,445,8
6749,426,6
2660,967,3
3562,976,3
9481,210,2
7360,196,7
5280,571,9
3260,667,1
5531,490,9
7243,973,2
2898,873,6
1486,629,3
1618,591,2
1380,114,2
4808,771,5
4404,503,2
2696,535,1
5704,468,4
7440,381,4
2508,735,6
1671,757,4
4754,239,7
7972,978,4
7900,274,6
7456,893,2
8236,401,3
5546,679,6
6574,903,4
3928,973,4
5325,563,9
8912,860,8
3801,527,7
8261,157,9
6917,214,4
7354,938,2
7159,739,4
9645,314,6
7439,946,7
9108,149,5
4475,807,7
9073,695,9
6732,856,7
7986,416,6
4832,651,8
6227,393,4
5843,734,1
5456,719,7
2642,236,5
5178,173,7
9098,985,3
8762,729,3
8746,120,1
5348,435,2
4040,242,6
2244,391,9
7138,248,3
5300,956,5
6563,153,3
6821,671,5
1583,764,3
9400,219,4
8307,444,7
3412,724,7
3900,864,2
6777,369,6
5597,847,8
1124,414,3
9793,125,4
8109,759,6
6985,661,2
3341,992,9
2848,371,4
1492,173,4
7511,624,9
8799,249,6
8804,633,2
8024,609,1
6077,697,2
3511,577,3
5102,524,7
9531,420,8
7227,719,7
9461,859,4
6257,691,9
